task_id,project_id,domain,category,context_group,estimated_duration,priority,priority_level,variation_level,dependencies,template_source
evaltask_000001,evalproj_00001,customer_churn,data_collection,data_preparation,170,medium,2,multi_step,,repo
evaltask_000002,evalproj_00001,customer_churn,data_cleaning,data_preparation,239,low,1,standard,evaltask_000001,ood
evaltask_000003,evalproj_00001,customer_churn,exploratory_data_analysis,analysis,77,medium,2,ambiguous,evaltask_000002,ood
evaltask_000004,evalproj_00001,customer_churn,feature_engineering,analysis,156,low,1,standard,evaltask_000003,ood
evaltask_000005,evalproj_00001,customer_churn,model_training,modelling,211,medium,2,standard,evaltask_000004,repo
evaltask_000006,evalproj_00001,customer_churn,model_evaluation,modelling,54,high,3,standard,evaltask_000005,repo
evaltask_000007,evalproj_00001,customer_churn,model_training,modelling,229,medium,2,negation,evaltask_000006,repo
evaltask_000008,evalproj_00001,customer_churn,model_evaluation,modelling,111,low,1,standard,evaltask_000007,ood
evaltask_000009,evalproj_00001,customer_churn,model_training,modelling,342,high,3,standard,evaltask_000008,repo
evaltask_000010,evalproj_00001,customer_churn,model_evaluation,modelling,141,low,1,negation,evaltask_000009,repo
evaltask_000011,evalproj_00001,customer_churn,reporting_documentation,reporting,62,medium,2,multi_step,evaltask_000010,repo
evaltask_000012,evalproj_00001,customer_churn,data_pipeline_maintenance,infrastructure,103,medium,2,standard,,repo
evaltask_000013,evalproj_00002,healthcare_readmission,data_collection,data_preparation,96,high,3,ambiguous,,repo
evaltask_000014,evalproj_00002,healthcare_readmission,data_cleaning,data_preparation,52,medium,2,multi_step,evaltask_000013,repo
evaltask_000015,evalproj_00002,healthcare_readmission,exploratory_data_analysis,analysis,94,medium,2,multi_step,evaltask_000014,repo
evaltask_000016,evalproj_00002,healthcare_readmission,feature_engineering,analysis,293,high,3,negation,evaltask_000015,ood
evaltask_000017,evalproj_00002,healthcare_readmission,model_training,modelling,156,high,3,standard,evaltask_000016,ood
evaltask_000018,evalproj_00002,healthcare_readmission,model_evaluation,modelling,86,medium,2,ambiguous,evaltask_000017,ood
evaltask_000019,evalproj_00002,healthcare_readmission,model_training,modelling,175,low,1,multi_step,evaltask_000018,repo
evaltask_000020,evalproj_00002,healthcare_readmission,model_evaluation,modelling,169,high,3,standard,evaltask_000019,ood
evaltask_000021,evalproj_00002,healthcare_readmission,reporting_documentation,reporting,178,low,1,standard,evaltask_000020,repo
evaltask_000022,evalproj_00002,healthcare_readmission,data_pipeline_maintenance,infrastructure,46,low,1,standard,,repo
evaltask_000023,evalproj_00003,fraud_detection,data_collection,data_preparation,168,medium,2,standard,,ood
evaltask_000024,evalproj_00003,fraud_detection,data_cleaning,data_preparation,53,low,1,standard,evaltask_000023,ood
evaltask_000025,evalproj_00003,fraud_detection,exploratory_data_analysis,analysis,225,low,1,ambiguous,evaltask_000024,repo
evaltask_000026,evalproj_00003,fraud_detection,model_training,modelling,303,high,3,standard,evaltask_000025,ood
evaltask_000027,evalproj_00003,fraud_detection,model_evaluation,modelling,106,high,3,multi_step,evaltask_000026,repo
evaltask_000028,evalproj_00003,fraud_detection,model_training,modelling,341,high,3,ambiguous,evaltask_000027,repo
evaltask_000029,evalproj_00003,fraud_detection,model_evaluation,modelling,84,high,3,standard,evaltask_000028,repo
evaltask_000030,evalproj_00003,fraud_detection,reporting_documentation,reporting,36,medium,2,standard,evaltask_000029,repo
evaltask_000031,evalproj_00004,employee_attrition,data_collection,data_preparation,137,low,1,ambiguous,,repo
evaltask_000032,evalproj_00004,employee_attrition,data_cleaning,data_preparation,157,low,1,standard,evaltask_000031,repo
evaltask_000033,evalproj_00004,employee_attrition,exploratory_data_analysis,analysis,144,medium,2,standard,evaltask_000032,repo
evaltask_000034,evalproj_00004,employee_attrition,feature_engineering,analysis,120,medium,2,standard,evaltask_000033,repo
evaltask_000035,evalproj_00004,employee_attrition,model_training,modelling,182,high,3,multi_step,evaltask_000034,repo
evaltask_000036,evalproj_00004,employee_attrition,model_evaluation,modelling,107,high,3,standard,evaltask_000035,repo
evaltask_000037,evalproj_00004,employee_attrition,reporting_documentation,reporting,96,high,3,standard,evaltask_000036,ood
evaltask_000038,evalproj_00004,employee_attrition,data_pipeline_maintenance,infrastructure,110,medium,2,standard,,repo
evaltask_000039,evalproj_00005,fraud_detection,data_collection,data_preparation,173,low,1,ambiguous,,repo
evaltask_000040,evalproj_00005,fraud_detection,data_cleaning,data_preparation,153,high,3,ambiguous,evaltask_000039,repo
evaltask_000041,evalproj_00005,fraud_detection,feature_engineering,analysis,174,medium,2,standard,evaltask_000040,repo
evaltask_000042,evalproj_00005,fraud_detection,model_training,modelling,135,high,3,ambiguous,evaltask_000041,repo
evaltask_000043,evalproj_00005,fraud_detection,model_evaluation,modelling,40,low,1,ambiguous,evaltask_000042,ood
evaltask_000044,evalproj_00005,fraud_detection,reporting_documentation,reporting,82,low,1,negation,evaltask_000043,ood
evaltask_000045,evalproj_00005,fraud_detection,data_pipeline_maintenance,infrastructure,43,high,3,standard,,ood
evaltask_000046,evalproj_00005,fraud_detection,data_pipeline_maintenance,infrastructure,114,medium,2,standard,,ood
evaltask_000047,evalproj_00005,fraud_detection,data_pipeline_maintenance,infrastructure,93,high,3,standard,,repo
evaltask_000048,evalproj_00006,network_intrusion_detection,data_collection,data_preparation,134,medium,2,multi_step,,repo
evaltask_000049,evalproj_00006,network_intrusion_detection,data_cleaning,data_preparation,143,medium,2,standard,evaltask_000048,repo
evaltask_000050,evalproj_00006,network_intrusion_detection,exploratory_data_analysis,analysis,157,low,1,standard,evaltask_000049,repo
evaltask_000051,evalproj_00006,network_intrusion_detection,feature_engineering,analysis,178,low,1,standard,evaltask_000050,ood
evaltask_000052,evalproj_00006,network_intrusion_detection,model_training,modelling,328,medium,2,ambiguous,evaltask_000051,repo
evaltask_000053,evalproj_00006,network_intrusion_detection,model_evaluation,modelling,56,medium,2,ambiguous,evaltask_000052,ood
evaltask_000054,evalproj_00006,network_intrusion_detection,reporting_documentation,reporting,59,medium,2,standard,evaltask_000053,repo
evaltask_000055,evalproj_00007,sentiment_analysis,data_collection,data_preparation,142,medium,2,standard,,repo
evaltask_000056,evalproj_00007,sentiment_analysis,data_cleaning,data_preparation,35,medium,2,standard,evaltask_000055,repo
evaltask_000057,evalproj_00007,sentiment_analysis,exploratory_data_analysis,analysis,160,low,1,ambiguous,evaltask_000056,ood
evaltask_000058,evalproj_00007,sentiment_analysis,feature_engineering,analysis,253,medium,2,standard,evaltask_000057,repo
evaltask_000059,evalproj_00007,sentiment_analysis,model_training,modelling,337,low,1,standard,evaltask_000058,repo
evaltask_000060,evalproj_00007,sentiment_analysis,model_evaluation,modelling,58,medium,2,negation,evaltask_000059,repo
evaltask_000061,evalproj_00007,sentiment_analysis,model_training,modelling,277,medium,2,ambiguous,evaltask_000060,repo
evaltask_000062,evalproj_00007,sentiment_analysis,model_evaluation,modelling,96,medium,2,standard,evaltask_000061,repo
evaltask_000063,evalproj_00007,sentiment_analysis,model_training,modelling,207,low,1,negation,evaltask_000062,repo
evaltask_000064,evalproj_00007,sentiment_analysis,model_evaluation,modelling,95,high,3,ambiguous,evaltask_000063,repo
evaltask_000065,evalproj_00007,sentiment_analysis,reporting_documentation,reporting,35,medium,2,standard,evaltask_000064,repo
evaltask_000066,evalproj_00007,sentiment_analysis,data_pipeline_maintenance,infrastructure,94,medium,2,multi_step,,ood
evaltask_000067,evalproj_00008,supply_chain_optimisation,data_collection,data_preparation,174,high,3,standard,,repo
evaltask_000068,evalproj_00008,supply_chain_optimisation,data_cleaning,data_preparation,60,medium,2,standard,evaltask_000067,repo
evaltask_000069,evalproj_00008,supply_chain_optimisation,exploratory_data_analysis,analysis,52,medium,2,standard,evaltask_000068,ood
evaltask_000070,evalproj_00008,supply_chain_optimisation,feature_engineering,analysis,188,high,3,negation,evaltask_000069,ood
evaltask_000071,evalproj_00008,supply_chain_optimisation,model_training,modelling,329,high,3,standard,evaltask_000070,repo
evaltask_000072,evalproj_00008,supply_chain_optimisation,model_evaluation,modelling,122,high,3,multi_step,evaltask_000071,repo
evaltask_000073,evalproj_00008,supply_chain_optimisation,reporting_documentation,reporting,69,low,1,standard,evaltask_000072,repo
evaltask_000074,evalproj_00008,supply_chain_optimisation,data_pipeline_maintenance,infrastructure,34,medium,2,multi_step,,ood
evaltask_000075,evalproj_00008,supply_chain_optimisation,data_pipeline_maintenance,infrastructure,55,high,3,negation,,repo
evaltask_000076,evalproj_00009,healthcare_readmission,data_collection,data_preparation,105,medium,2,negation,,ood
evaltask_000077,evalproj_00009,healthcare_readmission,data_cleaning,data_preparation,126,high,3,ambiguous,evaltask_000076,repo
evaltask_000078,evalproj_00009,healthcare_readmission,exploratory_data_analysis,analysis,169,high,3,standard,evaltask_000077,ood
evaltask_000079,evalproj_00009,healthcare_readmission,feature_engineering,analysis,238,medium,2,ambiguous,evaltask_000078,repo
evaltask_000080,evalproj_00009,healthcare_readmission,model_training,modelling,168,medium,2,multi_step,evaltask_000079,ood
evaltask_000081,evalproj_00009,healthcare_readmission,model_evaluation,modelling,44,low,1,negation,evaltask_000080,repo
evaltask_000082,evalproj_00009,healthcare_readmission,reporting_documentation,reporting,44,high,3,standard,evaltask_000081,ood
evaltask_000083,evalproj_00009,healthcare_readmission,data_pipeline_maintenance,infrastructure,30,high,3,standard,,ood
evaltask_000084,evalproj_00009,healthcare_readmission,data_pipeline_maintenance,infrastructure,56,high,3,standard,,ood
evaltask_000085,evalproj_00009,healthcare_readmission,data_pipeline_maintenance,infrastructure,99,medium,2,negation,,repo
evaltask_000086,evalproj_00010,predictive_maintenance,data_collection,data_preparation,80,low,1,negation,,ood
evaltask_000087,evalproj_00010,predictive_maintenance,data_cleaning,data_preparation,119,high,3,standard,evaltask_000086,repo
evaltask_000088,evalproj_00010,predictive_maintenance,exploratory_data_analysis,analysis,186,low,1,standard,evaltask_000087,repo
evaltask_000089,evalproj_00010,predictive_maintenance,feature_engineering,analysis,179,medium,2,standard,evaltask_000088,repo
evaltask_000090,evalproj_00010,predictive_maintenance,model_training,modelling,271,low,1,standard,evaltask_000089,repo
evaltask_000091,evalproj_00010,predictive_maintenance,model_evaluation,modelling,99,low,1,multi_step,evaltask_000090,repo
evaltask_000092,evalproj_00010,predictive_maintenance,reporting_documentation,reporting,170,medium,2,negation,evaltask_000091,ood
evaltask_000093,evalproj_00010,predictive_maintenance,data_pipeline_maintenance,infrastructure,27,medium,2,multi_step,,repo
evaltask_000094,evalproj_00010,predictive_maintenance,data_pipeline_maintenance,infrastructure,83,high,3,negation,,repo
evaltask_000095,evalproj_00011,supply_chain_optimisation,data_collection,data_preparation,126,medium,2,standard,,ood
evaltask_000096,evalproj_00011,supply_chain_optimisation,data_cleaning,data_preparation,68,high,3,standard,evaltask_000095,repo
evaltask_000097,evalproj_00011,supply_chain_optimisation,exploratory_data_analysis,analysis,107,medium,2,standard,evaltask_000096,ood
evaltask_000098,evalproj_00011,supply_chain_optimisation,feature_engineering,analysis,127,medium,2,negation,evaltask_000097,ood
evaltask_000099,evalproj_00011,supply_chain_optimisation,model_training,modelling,249,low,1,ambiguous,evaltask_000098,repo
evaltask_000100,evalproj_00011,supply_chain_optimisation,model_evaluation,modelling,51,high,3,ambiguous,evaltask_000099,ood
evaltask_000101,evalproj_00011,supply_chain_optimisation,model_training,modelling,202,high,3,standard,evaltask_000100,ood
evaltask_000102,evalproj_00011,supply_chain_optimisation,model_evaluation,modelling,116,high,3,standard,evaltask_000101,ood
