task_id,description,arrival_time,deadline
evaltask_000001,"First query the production database, then consolidate the extracts into the subscription churn dataset.",3577,4875
evaltask_000002,Investigate and correct inconsistent entries in the subscription churn dataset.,4398,5505
evaltask_000003,Have a proper look at the subscription churn dataset and tell me what's going on.,4609,6149
evaltask_000004,Create lagged variables based on usage frequency for the subscription churn dataset.,5661,6307
evaltask_000005,Training a logistic regression model from scratch on the updated subscription churn dataset.,6058,6666
evaltask_000006,"Compute precision, recall and F1 for customer attrition predictions.",7142,7904
evaltask_000007,Fit the logistic regression model on the subscription churn dataset without using the usage frequency column.,8482,10386
evaltask_000008,Stress-test the logistic regression model against edge cases in the subscription churn dataset.,9395,10844
evaltask_000009,Establishing a baseline logistic regression model for customer attrition prediction.,10163,11049
evaltask_000010,Compare the logistic regression model against the previous version without retraining either of them.,11191,13271
evaltask_000011,"Draft the customer attrition findings first, then turn them into slides for stakeholders.",12438,14101
evaltask_000012,Patch a schema change that broke the subscription churn dataset pipeline.,21321,22571
evaltask_000013,Check where the patient records dataset is actually coming from.,44512,45567
evaltask_000014,Deduplicate the patient records dataset and then standardise the comorbidity count column formats.,45461,45943
evaltask_000015,"Profile the patient records dataset first, then investigate how comorbidity count relates to 30-day readmission.",45898,47410
evaltask_000016,Build features for the gradient boosting model without using information unavailable at prediction time.,46739,47679
evaltask_000017,Compare training time and convergence of the gradient boosting model on the patient records dataset.,47464,47912
evaltask_000018,"Not convinced by the gradient boosting model numbers, look into them.",48850,50766
evaltask_000019,Set up cross-validation and then fit the gradient boosting model on the prepared patient records dataset.,49308,51776
evaltask_000020,Stress-test the gradient boosting model against edge cases in the patient records dataset.,49448,50380
evaltask_000021,Draft release notes describing changes to the gradient boosting model pipeline.,50494,51811
evaltask_000022,Reviewing pipeline logs after an unexpected failure.,58963,60148
evaltask_000023,Download and consolidate external data sources for the payments dataset.,43696,45522
evaltask_000024,Investigate and correct inconsistent entries in the payments dataset.,44207,45619
evaltask_000025,Not sure what's driving fraud risk — dig into it.,45548,47323
evaltask_000026,Compare training time and convergence of the gradient boosting model on the payments dataset.,46020,46716
evaltask_000027,"First reproduce the reported gradient boosting model metrics, then investigate the drop in recall.",46620,47420
evaltask_000028,Give the gradient boosting model another run with the latest payments dataset.,47265,48290
evaltask_000029,Assessing whether the gradient boosting model meets the required performance threshold.,48340,49380
evaltask_000030,Summarise key findings from the fraud risk analysis for the team.,49664,51576
evaltask_000031,We're short on records for the workforce analytics dataset — sort it out.,33947,35724
evaltask_000032,Reconcile mismatched identifiers between two versions of the workforce analytics dataset.,34900,36613
evaltask_000033,Check for seasonality patterns related to performance rating in the workforce analytics dataset.,35648,36948
evaltask_000034,Generate embeddings to represent performance rating for the logistic regression model.,36331,37064
evaltask_000035,"First fit the logistic regression model on a sample, then run the full training on the workforce analytics dataset.",37112,37834
evaltask_000036,Check the logistic regression model for fairness across segments of the workforce analytics dataset.,38206,38712
evaltask_000037,Write a summary report describing the logistic regression model results for employee attrition.,38658,39391
evaltask_000038,Patch a schema change that broke the workforce analytics dataset pipeline.,41930,42553
evaltask_000039,We're short on records for the credit card transactions dataset — sort it out.,7506,8355
evaltask_000040,Something's wrong with transaction frequency in the credit card transactions dataset.,7539,8226
evaltask_000041,Generate embeddings to represent transaction frequency for the autoencoder model.,7774,9582
evaltask_000042,Give the autoencoder model another run with the latest credit card transactions dataset.,9171,9913
evaltask_000043,"Not convinced by the autoencoder model numbers, look into them.",9200,10796
evaltask_000044,Document the autoencoder model limitations without disclosing the underlying credit card transactions dataset schema.,9594,10419
evaltask_000045,Update pipeline dependencies feeding the credit card transactions dataset.,21952,22440
evaltask_000046,Update pipeline dependencies feeding the credit card transactions dataset.,26840,27421
evaltask_000047,Monitor data quality alerts for the credit card transactions dataset pipeline.,9979,10996
evaltask_000048,Pull the latest records and afterwards check the firewall logs dataset covers the full time range.,43115,44430
evaltask_000049,Impute missing values for protocol type using an appropriate strategy.,43893,45269
evaltask_000050,Identify data quality issues that could affect anomaly score prediction.,43942,45070
evaltask_000051,Create lagged variables based on protocol type for the firewall logs dataset.,44187,44686
evaltask_000052,"Whatever we did last time to the random forest classifier, do it again with the new data.",45490,47074
evaltask_000053,"Not convinced by the random forest classifier numbers, look into them.",45527,46087
evaltask_000054,Updating the project README with the latest firewall logs dataset schema.,45564,45940
evaltask_000055,Collect raw data for the social media comments dataset from the source system.,49644,50207
